id,document,canton,year,n,form,frpos,frlemma,lang,list
w_FR_FR_2002_122543,FR_FR,FR,2002,122543,exploitants,NOM,exploitant,FR,lemmesTempsFR
w_FR_FR_2002_122545,FR_FR,FR,2002,122545,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_122630,FR_FR,FR,2002,122630,réseaux,NOM,réseau,FR,lemmesTempsFR
w_FR_FR_2002_122632,FR_FR,FR,2002,122632,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_122661,FR_FR,FR,2002,122661,utilisation,NOM,utilisation,FR,lemmesTempsFR
w_FR_FR_2002_122663,FR_FR,FR,2002,122663,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_122696,FR_FR,FR,2002,122696,et,KON,et,FR,lemmesTempsFR
w_FR_FR_2002_122698,FR_FR,FR,2002,122698,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_123571,FR_FR,FR,2002,123571,desserte,NOM,desserte,FR,lemmesTempsFR
w_FR_FR_2002_123573,FR_FR,FR,2002,123573,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_123955,FR_FR,FR,2002,123955,motorisé,VER:pper,motoriser,FR,lemmesTempsFR
w_FR_FR_2002_123957,FR_FR,FR,2002,123957,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_124265,FR_FR,FR,2002,124265,desserte,NOM,desserte,FR,lemmesTempsFR
w_FR_FR_2002_124267,FR_FR,FR,2002,124267,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_124301,FR_FR,FR,2002,124301,desserte,NOM,desserte,FR,lemmesTempsFR
w_FR_FR_2002_124303,FR_FR,FR,2002,124303,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_124675,FR_FR,FR,2002,124675,desserte,NOM,desserte,FR,lemmesTempsFR
w_FR_FR_2002_124677,FR_FR,FR,2002,124677,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_124898,FR_FR,FR,2002,124898,matière,NOM,matière,FR,lemmesTempsFR
w_FR_FR_2002_124900,FR_FR,FR,2002,124900,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_125251,FR_FR,FR,2002,125251,desserte,NOM,desserte,FR,lemmesTempsFR
w_FR_FR_2002_125253,FR_FR,FR,2002,125253,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_125325,FR_FR,FR,2002,125325,arrêts,NOM,arrêt,FR,lemmesTempsFR
w_FR_FR_2002_125327,FR_FR,FR,2002,125327,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_125958,FR_FR,FR,2002,125958,locale,ADJ,local,FR,lemmesTempsFR
w_FR_FR_2002_125960,FR_FR,FR,2002,125960,Transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_126352,FR_FR,FR,2002,126352,réseau,NOM,réseau,FR,lemmesTempsFR
w_FR_FR_2002_126354,FR_FR,FR,2002,126354,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_126732,FR_FR,FR,2002,126732,vers,PRP,vers,FR,lemmesTempsFR
w_FR_FR_2002_126734,FR_FR,FR,2002,126734,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_127037,FR_FR,FR,2002,127037,Thème,NOM,thème,FR,lemmesTempsFR
w_FR_FR_2002_127039,FR_FR,FR,2002,127039,Transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_127049,FR_FR,FR,2002,127049,desserte,NOM,desserte,FR,lemmesTempsFR
w_FR_FR_2002_127051,FR_FR,FR,2002,127051,transport,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_127161,FR_FR,FR,2002,127161,desserte,NOM,desserte,FR,lemmesTempsFR
w_FR_FR_2002_127163,FR_FR,FR,2002,127163,transport,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_127186,FR_FR,FR,2002,127186,Thème,NOM,thème,FR,lemmesTempsFR
w_FR_FR_2002_127188,FR_FR,FR,2002,127188,Transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_127278,FR_FR,FR,2002,127278,desserte,NOM,desserte,FR,lemmesTempsFR
w_FR_FR_2002_127280,FR_FR,FR,2002,127280,transport,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_127303,FR_FR,FR,2002,127303,Thème,NOM,thème,FR,lemmesTempsFR
w_FR_FR_2002_127305,FR_FR,FR,2002,127305,Transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_127327,FR_FR,FR,2002,127327,déplacements,NOM,déplacement,FR,lemmesTempsFR
w_FR_FR_2002_127329,FR_FR,FR,2002,127329,transport,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_127426,FR_FR,FR,2002,127426,vers,PRP,vers,FR,lemmesTempsFR
w_FR_FR_2002_127428,FR_FR,FR,2002,127428,transports,NOM,transport,FR,lemmesTempsFR
