,FR_BE,FR_FR,FR_GE,FR_JU,FR_NE,FR_VD,FR_VS
accessibilité,32,26,41,2,16,150,17
qualité desserte,87,28,4,1,1,38,0
intégration transport,0,1,0,0,0,2,0
coût,142,12,2,0,1,145,2
disponibilité transport,1,0,0,0,0,0,0
infrastructure,357,116,78,11,15,457,75
centralité spatial,0,0,0,0,0,0,0
inégalité accès,0,0,0,0,0,0,0
budget mobilité,0,0,0,0,0,0,0
réseau transport,47,56,43,4,1,167,13
