lemma,count
Tram,324
Thema,322
Schiene,322
Stärkung,321
Siedlungsstruktur,320
Gefahrenkarte,320
Landschaftsbild,318
Gesamtkosten,318
Tier,316
Landwirtschaftszone,313
Richtlinie,312
Moorlandschaft,311
LR,310
August,308
Belastung,308
Weilerzone,307
Ziffer,305
Bauvorhaben,304
Kantonsgebiet,302
Verweis,302
Gegenstand,301
Umnutzung,299
Inertstoffdeponie,298
Raumplanungsgesetz,298
Fahrende,297
Mittelland,296
Ziel|Zielen,295
Größe,293
Basel-Landschaft,291
Zunahme,290
Uhr,289
Ar,289
Es,289
Erhöhung,288
Hinblick,288
Frage,288
Streusiedlungsgebiet,287
Baulandbedarf,286
Bestandteil,283
Zahl,282
Überprüfung,282
P,282
Siedlungsqualität,282
Schaffung,281
Anspruch,281
Nachfrage,280
Umfahrung,280
Partner,278
Quelle,278
Beschäftigte,277
Antrag,277
RGSK,276
Betroffene,275
Kleinsiedlung,273
Baugebiet,271
Folge,271
Flughafen,270
Sport,269
S-Bahn,269
Erreichbarkeit,269
Abstimmungsstand,268
Universität,268
Verkehrsinfrastruktur,268
Attraktivität,267
Landschaftsraum,266
Regionalpolitik,266
Rolle,265
Unterstützung,264
Generation,263
Investitionsrechnung,262
Überarbeitung,262
Hochwasserschutz,262
Pflege,261
Luftreinhaltung,260
BLN-Gebiet,260
Spezialfinanzierung,259
Grundwasserschutzzone,258
Einzonungen,257
Risiko,257
Golfplatz,256
Zusammenführung,255
Energieträger,255
Grundeigentümer,255
Naturschutzzone,255
Finanzierungsnachweis,255
Produktion,255
Kostenanteil,255
Finanzierungsart,253
Material,253
Hochhaus,252
Verwaltung,252
Perimeter,252
Raumwirksame,250
W,249
Vorranggebiet,249
Aue,249
Raumbeobachtung,249
Nachgeführt,249
Angabe,248
Entwurf,248
Raumbedarf,248
Veloverbindung,248
Einsatz,248
Sportanlage,247
Planungsanweisung,246
Etappe,246
Einbezug,245
Parkplatz,245
Dienstleistung,245
Prozess,241
Biodiversität,240
Aufbau,240
ÖV,239
Platz,237
Handlungsspielraum,237
Lärm,237
Leistung,236
¡,236
Biotop,236
Reserve,235
Steuerung,234
Raumordnungspolitik,234
BVE,233
Naturschutzamt,233
Z,232
Vorschrift,232
Umfang,231
us,231
Unterhalt,230
Kantonsgrenze,230
Stelle,229
Erfüllung,228
Beispiel,228
Knoten,228
Bildung,228
Park,227
Sicherheit,226
Vordergrund,226
Person,225
Abgrenzung,225
Optimierung,225
Wohngebiet,225
Linienführung,224
Departement,224
Pflanze|Pflanzen,224
Heimatschutz,224
Ausnahme,223
ff,223
Entwicklungsachse,222
Reduktion,222
Abwasser,222
Maßnahmenplan,222
Zweck,221
Erlass,220
Siedlungsraum,220
Kulturdenkmal,220
Umfeld,218
Wohnraum,218
J,218
Staatsstraße,218
Plan,217
Regionalkonferenz,217
Verkehrsträger,217
Mitwirkung,216
Feuerschaugemeinde,216
ISOS,216
S-Bahn-Haltestelle,216
Hand,216
Grundlagenkarte,216
Baudepartement,215
Bestand,215
Auslastung,214
Bevölkerungsentwicklung,213
Flugplatz,213
Nähe,212
S1,212
Autobahn,209
Baudirektion,209
Bauen,207
S2,207
Neueinzonungen,206
O,205
Heide,205
Achse,205
Bus,204
Verteilung,203
Stein,203
Raumnutzung,202
Kulturland,202
Prozent,202
Faktor,202
Nationalstrassennetz,201
Richtplanaufgabe,201
West,200
Lebensgrundlage,200
Beeinträchtigung,200
Kommunikation,200
Störfallvorsorge,200
Prüfung,200
Planquadrat,199
Teilrichtplan,199
Industrie,198
Raum|Räumen,197
Landschaftsentwicklungskonzept,196
Ausgleich,196
Richtplangeschäft,196
Landschaftsschutzzone,195
Personenverkehr,195
Infrastrukturanlage,194
Entwicklungsgebiet,194
Erhalt,194
Organisation,194
Gewerbezone,194
Mitte,193
Private,193
Verzeichnis,192
Vergleich,192
Abklärung,192
Recht,191
Strukturwandel,191
Waldreservat,191
Lebensraumverbund,191
Schutzmaßnahme,191
Gefahr,191
Regionalverkehr,191
Siedlungstrenngürtel,191
Tabelle,191
Windenergieanlage,191
Beschl,190
Ausdehnung,190
Deponieplanung,190
Erneuerung,190
Prioritätensetzung,190
Grundversorgung,189
RiplaNr,189
Bedingung,189
Klima,189
Radweg,189
Zugang,188
Konzentration,187
Detail,187
Fundstelle,187
Eingriff,187
Durchgangsplatz,187
Standortgemeinde,186
Umbau,186
Handlungsanweisung,186
Verfügbarkeit,185
Ausland,185
A4,185
Ganze,185
Hochschule,183
Lärmschutz,183
Monitoring,183
Schule,182
Revitalisierung,182
Charakter,182
Stadtentwicklung,182
Trägerschaft,181
Richtplananpassung,181
Gefährdung,181
Zustand,181
Vereinbarung,181
Nummer,181
T,181
GWh,180
Teufen,180
Innenstadt,180
Integration,180
Planungsauftrag,179
Abbildung,179
Windenergie,179
Schutzgebiet,179
Einkaufszentrum,179
Begründung,178
Kies,177
Beschreibung,176
Denkmalpflege,176
Straßenverkehr,176
Direktion,176
Siedlungskonzept,176
Gewährleistung,175
Verlegung,175
Wanderwegnetz,175
Verlängerung,175
Koordinationsblatt,175
Sachplanung,174
Transport,174
Fall,173
Verkehrssystem,173
Programm,173
Untere,173
Dienststelle,173
Kompetenz,173
Einzugsgebiet,173
Erschliessungsqualität,173
Burgdorf,172
Autobahnanschluss,171
Verkehrsaufkommen,171
Gut,171
BASEL-LANDSCHAFT,171
Wildtier,169
Schutzziel,169
Gewässerraum,169
Hochwasser,168
Schritt,168
Bearbeitung,167
Variante,167
Berechnung,167
LANAT,166
Ersatz,166
Unternehmen,165
Arbeitsplatzgebiet,165
Landschaftsschutzgebiet,165
Nachhaltigkeit,164
Grundlagenbericht,164
Massnahmenteil,164
●,163
Gewässerschutz,163
Artikel,162
Trinkwasser,162
Hauptverkehrsstraße,162
Regelung,161
Lebensqualität,161
Richtplan-Gesamtkarte,161
Rohstoff,161
Waldwirtschaft,161
Regierung,161
Luftfahrt,161
Bergregion,160
Ablauf,160
Velo,160
Einwirkung,159
Grundstück,159
Regierungspolitik,159
Anwendung,158
Nachweis,158
Bahnlinie,158
Übertragungsleitung,158
Zubringer,157
Kataster,157
Text,157
Luftverkehr,156
Verkehrsnetz,156
KVA,156
km,155
Projektierung,155
Ausrichtung,155
Abbaugebiet,155
Bettingen,154
Militär,154
Chance,154
Druck,153
Erholungsraum,153
Abschluss,153
Entwicklungsziel,153
Entwicklungsträger,153
Mittel|Mitteln,153
Trinkwasserversorgung,152
Einsiedeln,152
Wohnqualität,152
Raumplanungsverordnung,152
Arbeitsgebiet,152
Doppelspur,152
Umweltdepartement,152
Telekommunikation,152
Obere,152
Abwasserreinigungsanlage,152
Entlastung,151
Ansiedlung,151
Statistik,151
Verknüpfung,151
Fall|Fällen,150
Aufhebung,150
See,150
Materialabbau,150
Schießanlage,149
Kleinhüningen,149
Masterplan,148
Raumentwicklungsstrategie,148
Grundlagenplan,148
Verlagerung,148
Hof,148
Einhaltung,148
Zeitpunkt,147
Andermatt,147
Naturdenkmal,147
Gesundheit,147
Gesamtverkehr,147
Wasserbau,147
PBG,147
Teilrevision,146
Bundesrecht,146
A2,146
Investition,146
Urnäsch,145
Kulturobjekt,145
M1,145
Aktivität,144
Hauptstraße,144
Amphibienlaichgebiet,144
Abfallplanung,144
Innere,143
Naherholungsgebiet,143
Arbeitsgruppe,143
Koordinationsstelle,143
Rheinhafen,142
Entwicklungsbild,142
Verkehrssicherheit,141
Nutzungszone,141
Verwendung,140
Kernzone,140
Planungsregion,140
04a,140
Kraftwerk,139
Führungsinstrument,139
Dichte,139
Kehrichtverbrennungsanlage,139
Maß,139
VE2,139
Liste,139
Aktualisierung,139
BLN,138
Wiese,138
Rücksicht,138
Weiher,138
Erläuterungsbericht,138
Landesteil,138
Grundwasserschutzareal,138
Schlussbericht,137
Einzelfall,137
Baubewilligungsverfahren,137
Raumtyp,137
Urbane,137
Hafen,137
Sektor,137
Blick,137
Berggebiet,136
Wohnzone,136
Auflage,136
Kenntnis,136
Errichtung,136
Naturobjekt,135
Interlake|Interlaken,135
Schienenverkehr,135
Burgstelle,135
Richtplaninhalt,135
Erle,134
Leitung,134
Bevölkerungswachstum,134
Synergie,134
Teilraum,134
Gewässerschutzgesetz,134
Allgemeine,134
Fußverkehr,133
Einzonung,133
Bauland,133
Ausgestaltung,133
Bahn|Bahnen,133
Speicher,133
Spielraum,132
Zweitwohnung,132
Wirtschaftsstandort,132
Oberland,132
Ausführung,132
Einfluss,132
Politik,132
Bach,132
lit,132
Freizeitverkehr,131
Naherholung,131
Pärke,131
Umweltschutzgesetz,131
Definition,131
Planungsinstrument,131
Klimawandel,131
Waldstatt,130
Einbindung,130
Holz,130
Energiegesetz,130
Empfehlung,130
Regionalzentrum,130
Tag,129
A1,129
