lemma,count
dabei,1731
damit,1216
dazu,1000
dafür,838
davon,618
deshalb,591
darauf,361
daher,341
dadurch,275
darin,254
daraus,148
darüber,98
außerdem,68
danach,53
dagegen,49
daneben,48
hierzu,47
trotzdem,47
hierfür,45
daran,34
hierbei,33
demnach,29
darum,23
demgegenüber,21
darunter,20
dementsprechend,11
dazwischen,10
demzufolge,9
dahin,5
dahinter,4
deswegen,4
hiervon,2
hiermit,2
hierdurch,1
daraufhin,1
seitdem,1
