,FR_BE,FR_FR,FR_GE,FR_JU,FR_NE,FR_VD,FR_VS
minute,7,7,3,0,5,78,0
heure,39,18,22,0,10,101,2
durée,23,7,2,0,1,12,3
vitesse,47,15,13,2,1,80,0
rapidité,8,0,1,0,0,0,0
ponctualité,1,0,1,0,0,0,0
retard,0,0,1,0,0,0,0
kilomètre,16,28,10,0,2,121,3
ralentissement,1,0,0,0,0,5,0
cadence,62,17,4,1,5,71,0
